transcript_entity,transcript_type,soap_entity,soap_type,similarity,status,document_id
anxious,SIGN_SYMPTOM,anxious,SIGN_SYMPTOM,1.0,Matched,0
panic attacks,SIGN_SYMPTOM,breakthrough symptoms,SIGN_SYMPTOM,0.905,Matched,0
breath,SIGN_SYMPTOM,medication,MEDICATION,0.872,Matched,0
panic,SIGN_SYMPTOM,anxiety,DISEASE_DISORDER,0.911,Matched,0
a month ago,DATE,few weeks,DATE,0.887,Matched,0
dread,SIGN_SYMPTOM,major,DISEASE_DISORDER,0.9,Matched,0
down,SIGN_SYMPTOM,major,DISEASE_DISORDER,0.84,Matched,0
irritable,SIGN_SYMPTOM,depressive,DISEASE_DISORDER,0.853,Matched,0
angry,SIGN_SYMPTOM,major,DISEASE_DISORDER,0.917,Matched,0
headaches,SIGN_SYMPTOM,headaches,SIGN_SYMPTOM,1.0,Matched,0
stomach,BIOLOGICAL_STRUCTURE,major,DISEASE_DISORDER,0.829,Matched,0
queasy,SIGN_SYMPTOM,breakthrough symptoms,SIGN_SYMPTOM,0.789,Matched,0
ear,BIOLOGICAL_STRUCTURE,ear,BIOLOGICAL_STRUCTURE,1.0,Matched,1
symptoms,SIGN_SYMPTOM,symptoms,SIGN_SYMPTOM,1.0,Matched,1
right,BIOLOGICAL_STRUCTURE,left,BIOLOGICAL_STRUCTURE,0.909,Matched,1
hurting,SIGN_SYMPTOM,Physical,DIAGNOSTIC_PROCEDURE,0.871,Matched,1
days,DURATION,days,DURATION,1.0,Matched,1
hearing loss,SIGN_SYMPTOM,hearing loss,SIGN_SYMPTOM,1.0,Matched,1
pain,SIGN_SYMPTOM,pain,SIGN_SYMPTOM,1.0,Matched,1
sharp,DETAILED_DESCRIPTION,symptoms,SIGN_SYMPTOM,0.82,Matched,1
throbbing,DETAILED_DESCRIPTION,Physical,DIAGNOSTIC_PROCEDURE,0.868,Matched,1
dull,DETAILED_DESCRIPTION,symptoms,SIGN_SYMPTOM,0.837,Matched,1
six,LAB_VALUE,Physical,DIAGNOSTIC_PROCEDURE,0.9,Matched,1
dizziness,SIGN_SYMPTOM,dizziness,SIGN_SYMPTOM,1.0,Matched,1
nausea,SIGN_SYMPTOM,pain,SIGN_SYMPTOM,0.886,Matched,1
dizzy,SIGN_SYMPTOM,symptoms,SIGN_SYMPTOM,0.877,Matched,1
discharge,SIGN_SYMPTOM,discharge,SIGN_SYMPTOM,1.0,Matched,1
fever,SIGN_SYMPTOM,fever,SIGN_SYMPTOM,1.0,Matched,1
draining,SIGN_SYMPTOM,drainage,SIGN_SYMPTOM,0.867,Matched,1
100,LAB_VALUE,100,LAB_VALUE,1.0,Matched,1
recent travel,HISTORY,hearing loss,SIGN_SYMPTOM,0.82,Matched,1
exposure to illness,HISTORY,affected ear,BIOLOGICAL_STRUCTURE,0.786,Matched,1
changes,HISTORY,Physical,DIAGNOSTIC_PROCEDURE,0.879,Matched,1
environment,HISTORY,oxygen,DIAGNOSTIC_PROCEDURE,0.878,Matched,1
redness,SIGN_SYMPTOM,redness,SIGN_SYMPTOM,1.0,Matched,1
swelling,SIGN_SYMPTOM,swelling,SIGN_SYMPTOM,1.0,Matched,1
red,SIGN_SYMPTOM,redness,SIGN_SYMPTOM,0.865,Matched,1
swollen,SIGN_SYMPTOM,swelling,SIGN_SYMPTOM,0.927,Matched,1
