document_id,coverage_score,criticality_score,extraction_confidence,entities_transcript,entities_soap,entities_matched,missing_critical,missing_moderate,missing_low,processing_time
0,100.0%,100.0%,0.698,12,22,12,0,0,0,7.04
1,100.0%,100.0%,0.802,40,60,40,0,0,0,24.94
2,100.0%,100.0%,0.779,20,33,20,0,0,0,8.73
3,100.0%,100.0%,0.796,26,41,26,0,0,0,18.0
4,100.0%,100.0%,0.802,9,15,9,0,0,0,1.33
5,94.9%,95.9%,0.817,39,73,37,0,0,0,27.46
6,100.0%,100.0%,0.84,29,40,29,0,0,0,11.58
7,100.0%,100.0%,0.824,21,30,21,0,0,0,6.21
8,100.0%,100.0%,0.732,20,57,20,0,0,0,11.14
9,100.0%,100.0%,0.797,29,32,29,0,0,0,8.87
